# MOCK-INVENTORY v1 — QUANTUM W0
# generated: 2026-07-03
file,feature,path,sha256_16,size_bytes
ihl-00-onboarding-login.png,00,02-設計/_ui-global/mockups/ihl-00-onboarding-login.png,fb331ed1f76718fb,1167527
ihl-00-onboarding-signup.png,00,02-設計/_ui-global/mockups/ihl-00-onboarding-signup.png,a47fe967bcc8c353,1241917
ihl-00-terms.png,00,02-設計/_ui-global/mockups/ihl-00-terms.png,839bbd59bcc3f66c,1506569
ihl-01-nav-home.png,01,02-設計/_ui-global/mockups/ihl-01-nav-home.png,780bc66ad38e011d,1298638
ihl-03-lineage-cross.png,03,02-設計/_ui-global/mockups/ihl-03-lineage-cross.png,03311be362f818d1,1646912
ihl-03-lineage-growth-detail.png,03,02-設計/_ui-global/mockups/ihl-03-lineage-growth-detail.png,4f1dbe13da5cc36a,1438836
ihl-03-lineage-metrics-detail.png,03,02-設計/_ui-global/mockups/ihl-03-lineage-metrics-detail.png,0d861f5de37dbdf9,1391882
ihl-03-lineage-mortality-detail.png,03,02-設計/_ui-global/mockups/ihl-03-lineage-mortality-detail.png,1cc629cdd6198831,1310880
ihl-05-obs-context-picker.png,05,02-設計/_ui-global/mockups/ihl-05-obs-context-picker.png,550ab331dcf206f4,1293447
ihl-05-obs-detail-similar.png,05,02-設計/_ui-global/mockups/ihl-05-obs-detail-similar.png,75d16891e533609b,1627747
ihl-05-obs-device-link.png,05,02-設計/_ui-global/mockups/ihl-05-obs-device-link.png,45dab78c9cdeea68,1228764
ihl-05-obs-input-female.png,05,02-設計/_ui-global/mockups/ihl-05-obs-input-female.png,527fc96412a1262d,1212701
ihl-05-obs-input-male.png,05,02-設計/_ui-global/mockups/ihl-05-obs-input-male.png,1e10620bd7aa117e,1218037
ihl-05-obs-input-row.png,05,02-設計/_ui-global/mockups/ihl-05-obs-input-row.png,9ce8764ffaccfc73,1132929
ihl-05-obs-search-grid.png,05,02-設計/_ui-global/mockups/ihl-05-obs-search-grid.png,efec8f577291bd20,1777432
ihl-05-obs-template-detail.png,05,02-設計/_ui-global/mockups/ihl-05-obs-template-detail.png,7fd2157333b1dbc8,1268807
ihl-05-obs-template-fork.png,05,02-設計/_ui-global/mockups/ihl-05-obs-template-fork.png,73bce8ef71c2ce5c,1346967
ihl-05-obs-template-list.png,05,02-設計/_ui-global/mockups/ihl-05-obs-template-list.png,861a2a0a7cc1dcf9,1521933
ihl-06-market-auction-bid.png,06,02-設計/_ui-global/mockups/ihl-06-market-auction-bid.png,66d8e6e16e6f0eaa,1878564
ihl-06-market-browse.png,06,02-設計/_ui-global/mockups/ihl-06-market-browse.png,645480b174cc9c22,2025339
ihl-06-market-detail-board-stage2.png,06,02-設計/_ui-global/mockups/ihl-06-market-detail-board-stage2.png,ffb8f66036b804ae,1264550
ihl-06-market-detail-board-stage3.png,06,02-設計/_ui-global/mockups/ihl-06-market-detail-board-stage3.png,70fd53eef9198da0,1318078
ihl-06-market-detail-board.png,06,02-設計/_ui-global/mockups/ihl-06-market-detail-board.png,683f08635afb9ff0,1771651
ihl-06-market-listing-create.png,06,02-設計/_ui-global/mockups/ihl-06-market-listing-create.png,af029fd110f13530,1250621
ihl-06-market-lottery-apply.png,06,02-設計/_ui-global/mockups/ihl-06-market-lottery-apply.png,7ca1f5258d6de08b,1660766
ihl-06-market-lottery-result-lose.png,06,02-設計/_ui-global/mockups/ihl-06-market-lottery-result-lose.png,667f8cb9197b8b60,1239252
ihl-06-market-lottery-result.png,06,02-設計/_ui-global/mockups/ihl-06-market-lottery-result.png,b3e1e11889dfc04b,1323622
ihl-06-market-lottery-tab.png,06,02-設計/_ui-global/mockups/ihl-06-market-lottery-tab.png,4fc23bd2d87abe33,1874489
ihl-06-market-priority-queue-lose.png,06,02-設計/_ui-global/mockups/ihl-06-market-priority-queue-lose.png,3288d5c034f37d1e,1205202
ihl-06-market-priority-queue.png,06,02-設計/_ui-global/mockups/ihl-06-market-priority-queue.png,72ca192609bbe876,1630919
ihl-06-market-priority-tab.png,06,02-設計/_ui-global/mockups/ihl-06-market-priority-tab.png,b7c1f3c61cc1cce1,1665528
ihl-06-market-social.png,06,02-設計/_ui-global/mockups/ihl-06-market-social.png,7d8523b5148bbd59,1551614
ihl-07-board-hub.png,07,02-設計/_ui-global/mockups/ihl-07-board-hub.png,8ea477b5d982670c,1272814
ihl-07-board-post-愚痴.png,07,02-設計/_ui-global/mockups/ihl-07-board-post-愚痴.png,abe2418bd5770f9d,1314418
ihl-07-board-thread-post.png,07,02-設計/_ui-global/mockups/ihl-07-board-thread-post.png,83c2f26db95183d7,1389837
ihl-08-karma-summary.png,08,02-設計/_ui-global/mockups/ihl-08-karma-summary.png,c7021190036be970,1345906
ihl-09-paper-in-progress.png,09,02-設計/_ui-global/mockups/ihl-09-paper-in-progress.png,49c109b60a7b2e9b,1383407
ihl-09-paper-template-fill.png,09,02-設計/_ui-global/mockups/ihl-09-paper-template-fill.png,b08a294246340896,1291311
ihl-10-preference-pairwise.png,10,02-設計/_ui-global/mockups/ihl-10-preference-pairwise.png,b5fa5e60566dd490,2294034
ihl-11-dispute-tworoom.png,11,02-設計/_ui-global/mockups/ihl-11-dispute-tworoom.png,d7b84f40aec5a4e7,1534908
ihl-12-settings-hub.png,12,02-設計/_ui-global/mockups/ihl-12-settings-hub.png,e6ed72b79cf61109,1283546
ihl-12-settings-pii.png,12,02-設計/_ui-global/mockups/ihl-12-settings-pii.png,f18b048fcd9fd9e0,1253717
ihl-13-device-registry.png,13,02-設計/_ui-global/mockups/ihl-13-device-registry.png,301c708cbb343d57,1366495
ihl-14-contribution-badge.png,14,02-設計/_ui-global/mockups/ihl-14-contribution-badge.png,8a1fc5d16bb87dee,1314518
ihl-16-edit-this-screen-entry.png,16,02-設計/_ui-global/mockups/ihl-16-edit-this-screen-entry.png,446f268ff14e529f,1661058
ihl-16-uibuilder-canvas.png,16,02-設計/_ui-global/mockups/ihl-16-uibuilder-canvas.png,0fff16461e51255a,1329227
ihl-17-world-template-picker.png,17,02-設計/_ui-global/mockups/ihl-17-world-template-picker.png,192648891fe3fb41,1295706
ihl-18-photo-analysis-result.png,18,02-設計/_ui-global/mockups/ihl-18-photo-analysis-result.png,65c6f29af7adf82b,1310369
ihl-19-component-board.png,19,02-設計/_ui-global/mockups/ihl-19-component-board.png,0a12c6045f59dbef,1350517
ihl-20-vote-general.png,20,02-設計/_ui-global/mockups/ihl-20-vote-general.png,231d7beb08c843d3,1258219
